Plot Title: 22224703,,,,,,,,,
#,"Date Time, GMT+00:00",do.mgl,"Temp, °F (LGR S/N: 22224703, SEN S/N: 22224703)","DO Adj Conc, mg/L (LGR S/N: 22224703)",Coupler Detached (LGR S/N: 22224703),Coupler Attached (LGR S/N: 22224703),Host Connected (LGR S/N: 22224703),Stopped (LGR S/N: 22224703),End Of File (LGR S/N: 22224703)
37,7/15/2025 21:17,,70.09,7.6,,,,,
38,7/15/2025 21:22,,70.3,7.59,,,,,
39,7/15/2025 21:27,,70.45,7.58,,,,,
40,7/15/2025 21:32,,70.59,7.56,,,,,
41,7/15/2025 21:37,,70.74,7.55,,,,,
42,7/15/2025 21:42,,70.81,7.55,,,,,
43,7/15/2025 21:47,,70.92,7.53,,,,,
44,7/15/2025 21:52,,70.99,7.54,,,,,
45,7/15/2025 21:57,,71.06,7.53,,,,,
46,7/15/2025 22:02,,71.13,7.52,,,,,
47,7/15/2025 22:07,,71.17,7.51,,,,,
48,7/15/2025 22:12,,71.2,7.51,,,,,
49,7/15/2025 22:17,,71.24,7.51,,,,,
50,7/15/2025 22:22,,71.31,7.51,,,,,
51,7/15/2025 22:27,,71.31,7.49,,,,,
52,7/15/2025 22:32,,71.35,7.5,,,,,
53,7/15/2025 22:37,,71.38,7.51,,,,,
54,7/15/2025 22:42,,71.35,7.49,,,,,
55,7/15/2025 22:47,,71.28,7.49,,,,,
56,7/15/2025 22:52,,71.17,7.5,,,,,
57,7/15/2025 22:57,,70.99,7.49,,,,,
58,7/15/2025 23:02,,70.84,7.51,,,,,
59,7/15/2025 23:07,,70.63,7.52,,,,,
60,7/15/2025 23:12,,70.41,7.54,,,,,
61,7/15/2025 23:17,,70.2,7.54,,,,,
62,7/15/2025 23:22,,69.98,7.57,,,,,
63,7/15/2025 23:27,,69.76,7.58,,,,,
64,7/15/2025 23:32,,69.51,7.61,,,,,
65,7/15/2025 23:37,,69.3,7.62,,,,,
66,7/15/2025 23:42,,69.12,7.64,,,,,
67,7/15/2025 23:47,,68.9,7.65,,,,,
68,7/15/2025 23:52,,68.72,7.67,,,,,
69,7/15/2025 23:57,,68.54,7.68,,,,,
70,7/16/2025 0:02,,68.4,7.7,,,,,
71,7/16/2025 0:07,,68.22,7.72,,,,,
72,7/16/2025 0:12,,68.07,7.73,,,,,
73,7/16/2025 0:17,,67.89,7.74,,,,,
74,7/16/2025 0:22,,67.71,7.75,,,,,
75,7/16/2025 0:27,,67.57,7.75,,,,,
76,7/16/2025 0:32,,67.42,7.78,,,,,
77,7/16/2025 0:37,,67.32,7.79,,,,,
78,7/16/2025 0:42,,67.17,7.79,,,,,
79,7/16/2025 0:47,,67.1,7.8,,,,,
80,7/16/2025 0:52,,67.06,7.81,,,,,
81,7/16/2025 0:57,,67.06,7.82,,,,,
82,7/16/2025 1:02,,67.06,7.82,,,,,
83,7/16/2025 1:07,,67.1,7.81,,,,,
84,7/16/2025 1:12,,67.14,7.82,,,,,
85,7/16/2025 1:17,,67.17,7.81,,,,,
86,7/16/2025 1:22,,67.21,7.82,,,,,
87,7/16/2025 1:27,,67.28,7.81,,,,,
88,7/16/2025 1:32,,67.35,7.8,,,,,
89,7/16/2025 1:37,,67.39,7.8,,,,,
90,7/16/2025 1:42,,67.46,7.8,,,,,
91,7/16/2025 1:47,,67.53,7.79,,,,,
92,7/16/2025 1:52,,67.6,7.79,,,,,
93,7/16/2025 1:57,,67.68,7.78,,,,,
94,7/16/2025 2:02,,67.75,7.78,,,,,
95,7/16/2025 2:07,,67.82,7.76,,,,,
96,7/16/2025 2:12,,67.89,7.75,,,,,
97,7/16/2025 2:17,,67.96,7.75,,,,,
98,7/16/2025 2:22,,68,7.76,,,,,
99,7/16/2025 2:27,,68.07,7.75,,,,,
100,7/16/2025 2:32,,68.14,7.74,,,,,
101,7/16/2025 2:37,,68.22,7.74,,,,,
102,7/16/2025 2:42,,68.25,7.73,,,,,
103,7/16/2025 2:47,,68.32,7.73,,,,,
104,7/16/2025 2:52,,68.4,7.72,,,,,
105,7/16/2025 2:57,,68.43,7.71,,,,,
106,7/16/2025 3:02,,68.5,7.71,,,,,
107,7/16/2025 3:07,,68.58,7.72,,,,,
108,7/16/2025 3:12,,68.61,7.7,,,,,
109,7/16/2025 3:17,,68.68,7.7,,,,,
110,7/16/2025 3:22,,68.72,7.69,,,,,
111,7/16/2025 3:27,,68.76,7.68,,,,,
112,7/16/2025 3:32,,68.83,7.68,,,,,
113,7/16/2025 3:37,,68.86,7.68,,,,,
114,7/16/2025 3:42,,68.9,7.67,,,,,
115,7/16/2025 3:47,,68.97,7.67,,,,,
116,7/16/2025 3:52,,69.01,7.67,,,,,
117,7/16/2025 3:57,,69.04,7.67,,,,,
118,7/16/2025 4:02,,69.08,7.67,,,,,
119,7/16/2025 4:07,,69.12,7.66,,,,,
120,7/16/2025 4:12,,69.19,7.66,,,,,
121,7/16/2025 4:17,,69.22,7.65,,,,,
122,7/16/2025 4:22,,69.26,7.65,,,,,
123,7/16/2025 4:27,,69.3,7.64,,,,,
124,7/16/2025 4:32,,69.33,7.64,,,,,
125,7/16/2025 4:37,,69.37,7.63,,,,,
126,7/16/2025 4:42,,69.4,7.63,,,,,
127,7/16/2025 4:47,,69.44,7.63,,,,,
128,7/16/2025 4:52,,69.48,7.63,,,,,
129,7/16/2025 4:57,,69.51,7.63,,,,,
130,7/16/2025 5:02,,69.55,7.63,,,,,
131,7/16/2025 5:07,,69.58,7.62,,,,,
132,7/16/2025 5:12,,69.58,7.63,,,,,
133,7/16/2025 5:17,,69.62,7.62,,,,,
134,7/16/2025 5:22,,69.66,7.63,,,,,
135,7/16/2025 5:27,,69.69,7.61,,,,,
136,7/16/2025 5:32,,69.73,7.61,,,,,
137,7/16/2025 5:37,,69.73,7.61,,,,,
138,7/16/2025 5:42,,69.76,7.61,,,,,
139,7/16/2025 5:47,,69.8,7.61,,,,,
140,7/16/2025 5:52,,69.84,7.61,,,,,
141,7/16/2025 5:57,,69.84,7.61,,,,,
142,7/16/2025 6:02,,69.87,7.6,,,,,
143,7/16/2025 6:07,,69.91,7.61,,,,,
144,7/16/2025 6:12,,69.94,7.6,,,,,
145,7/16/2025 6:17,,69.94,7.6,,,,,
146,7/16/2025 6:22,,69.98,7.6,,,,,
147,7/16/2025 6:27,,69.98,7.6,,,,,
148,7/16/2025 6:32,,70.02,7.6,,,,,
149,7/16/2025 6:37,,70.05,7.59,,,,,
150,7/16/2025 6:42,,70.05,7.6,,,,,
151,7/16/2025 6:47,,70.09,7.59,,,,,
152,7/16/2025 6:52,,70.12,7.6,,,,,
153,7/16/2025 6:57,,70.12,7.59,,,,,
154,7/16/2025 7:02,,70.16,7.59,,,,,
155,7/16/2025 7:07,,70.2,7.59,,,,,
156,7/16/2025 7:12,,70.2,7.59,,,,,
157,7/16/2025 7:17,,70.23,7.59,,,,,
158,7/16/2025 7:22,,70.27,7.58,,,,,
159,7/16/2025 7:27,,70.27,7.58,,,,,
160,7/16/2025 7:32,,70.3,7.59,,,,,
161,7/16/2025 7:37,,70.3,7.58,,,,,
162,7/16/2025 7:42,,70.34,7.59,,,,,
163,7/16/2025 7:47,,70.34,7.58,,,,,
164,7/16/2025 7:52,,70.38,7.58,,,,,
165,7/16/2025 7:57,,70.38,7.57,,,,,
166,7/16/2025 8:02,,70.41,7.57,,,,,
167,7/16/2025 8:07,,70.41,7.58,,,,,
168,7/16/2025 8:12,,70.45,7.58,,,,,
169,7/16/2025 8:17,,70.45,7.58,,,,,
170,7/16/2025 8:22,,70.48,7.57,,,,,
171,7/16/2025 8:27,,70.48,7.58,,,,,
172,7/16/2025 8:32,,70.52,7.56,,,,,
173,7/16/2025 8:37,,70.52,7.57,,,,,
174,7/16/2025 8:42,,70.56,7.56,,,,,
175,7/16/2025 8:47,,70.56,7.56,,,,,
176,7/16/2025 8:52,,70.59,7.56,,,,,
177,7/16/2025 8:57,,70.59,7.56,,,,,
178,7/16/2025 9:02,,70.56,7.56,,,,,
179,7/16/2025 9:07,,70.48,7.56,,,,,
180,7/16/2025 9:12,,70.48,7.6,,,,,
181,7/16/2025 9:17,,70.92,7.58,,,,,
182,7/16/2025 9:22,,71.56,7.54,,,,,
183,7/16/2025 9:27,,72.14,7.45,,,,,
184,7/16/2025 9:32,,72.46,7.44,,,,,
185,7/16/2025 9:37,,72.82,7.4,,,,,
186,7/16/2025 9:42,,72.86,7.37,,,,,
187,7/16/2025 9:47,,72.93,7.36,,,,,
188,7/16/2025 9:52,,72.93,7.34,,,,,
189,7/16/2025 9:57,,72.97,7.36,,,,,
190,7/16/2025 10:02,,73.18,7.41,,,,,
191,7/16/2025 10:07,,73.62,7.35,,,,,
192,7/16/2025 10:12,,73.98,7.33,,,,,
193,7/16/2025 10:17,,74.3,7.31,,,,,
194,7/16/2025 10:22,,74.62,7.29,,,,,
195,7/16/2025 10:27,,74.95,7.26,,,,,
196,7/16/2025 10:32,,75.31,7.23,,,,,
197,7/16/2025 10:37,,75.63,7.22,,,,,
198,7/16/2025 10:42,,75.85,7.2,,,,,
199,7/16/2025 10:47,,75.99,7.17,,,,,
200,7/16/2025 10:52,,76.14,7.17,,,,,
201,7/16/2025 10:57,,76.24,7.15,,,,,
202,7/16/2025 11:02,,76.42,7.14,,,,,
203,7/16/2025 11:07,,76.6,7.14,,,,,
204,7/16/2025 11:12,,76.78,7.12,,,,,
205,7/16/2025 11:17,,77.07,7.11,,,,,
206,7/16/2025 11:22,,77.43,7.08,,,,,
207,7/16/2025 11:27,,77.72,7.05,,,,,
208,7/16/2025 11:32,,77.9,7.03,,,,,
209,7/16/2025 11:37,,77.97,7.02,,,,,
210,7/16/2025 11:42,,78.08,6.99,,,,,
211,7/16/2025 11:47,,78.22,6.99,,,,,
212,7/16/2025 11:52,,78.22,6.98,,,,,
213,7/16/2025 11:57,,78.19,6.99,,,,,
214,7/16/2025 12:02,,78.12,6.99,,,,,
215,7/16/2025 12:07,,78.08,7.02,,,,,
216,7/16/2025 12:12,,78.01,7.02,,,,,
217,7/16/2025 12:17,,77.94,7.03,,,,,
218,7/16/2025 12:22,,77.86,7.03,,,,,
219,7/16/2025 12:27,,77.86,7.03,,,,,
220,7/16/2025 12:32,,77.94,7.03,,,,,
221,7/16/2025 12:37,,78.04,7.03,,,,,
222,7/16/2025 12:42,,78.22,7.02,,,,,
223,7/16/2025 12:47,,78.69,6.99,,,,,
224,7/16/2025 12:52,,79.3,6.96,,,,,
225,7/16/2025 12:57,,80.2,6.91,,,,,
226,7/16/2025 13:02,,81.25,6.83,,,,,
227,7/16/2025 13:07,,82.33,6.77,,,,,
228,7/16/2025 13:12,,83.62,6.72,,,,,
229,7/16/2025 13:17,,85.17,6.66,,,,,
230,7/16/2025 13:22,,86.9,6.57,,,,,
231,7/16/2025 13:27,,88.59,6.48,,,,,
232,7/16/2025 13:32,,90.25,6.39,,,,,
233,7/16/2025 13:37,,91.9,6.31,,,,,
234,7/16/2025 13:42,,93.31,6.24,,,,,
235,7/16/2025 13:47,,94.53,6.17,,,,,
236,7/16/2025 13:52,,95.61,6.1,,,,,
237,7/16/2025 13:57,,96.51,6.05,,,,,
238,7/16/2025 14:02,,97.34,6,,,,,
239,7/16/2025 14:07,,98.24,5.94,,,,,
240,7/16/2025 14:12,,99.14,5.91,,,,,
241,7/16/2025 14:17,,99.97,5.84,,,,,
242,7/16/2025 14:22,,100.47,5.81,,,,,
243,7/16/2025 14:27,,100.9,5.76,,,,,
244,7/16/2025 14:32,,101.08,5.76,,,,,
245,7/16/2025 14:37,,101.23,5.73,,,,,
246,7/16/2025 14:42,,101.19,5.72,,,,,
247,7/16/2025 14:47,,100.98,5.72,,,,,
248,7/16/2025 14:52,,91.4,8.08,,,,,
249,7/16/2025 14:57,,84.85,8.45,,,,,
250,7/16/2025 15:02,,81.79,8.55,,,,,
251,7/16/2025 15:07,,79.88,8.54,,,,,
252,7/16/2025 15:12,,78.4,8.56,,,,,
253,7/16/2025 15:17,,77.14,8.49,,,,,
254,7/16/2025 15:22,,76.03,8.44,,,,,
255,7/16/2025 15:27,,74.95,8.42,,,,,
256,7/16/2025 15:32,,74.01,8.39,,,,,
257,7/16/2025 15:37,,73.11,8.36,,,,,
258,7/16/2025 15:42,,72.32,8.34,,,,,
259,7/16/2025 15:47,,71.6,8.31,,,,,
260,7/16/2025 15:52,,70.95,8.29,,,,,
261,7/16/2025 15:57,,70.34,8.21,,,,,
262,7/16/2025 16:02,,67.42,3.34,,,,,
263,7/16/2025 16:07,,65.62,3.07,,,,,
264,7/16/2025 16:12,,64.94,2.91,,,,,
265,7/16/2025 16:17,,64.69,2.84,,,,,
266,7/16/2025 16:22,,64.58,2.82,,,,,
267,7/16/2025 16:27,,64.47,2.79,,,,,
268,7/16/2025 16:32,,64.44,2.78,,,,,
269,7/16/2025 16:37,,64.4,2.78,,,,,
270,7/16/2025 16:42,,64.4,2.77,,,,,
271,7/16/2025 16:47,,64.4,2.78,,,,,
272,7/16/2025 16:52,,64.4,2.78,,,,,
273,7/16/2025 16:57,,64.4,2.78,,,,,
274,7/16/2025 17:02,,64.4,2.77,,,,,
275,7/16/2025 17:07,,64.4,2.77,,,,,
276,7/16/2025 17:12,,64.4,2.71,,,,,
277,7/16/2025 17:17,,64.36,2.75,,,,,
278,7/16/2025 17:22,,64.29,2.73,,,,,
279,7/16/2025 17:27,,64.26,2.71,,,,,
280,7/16/2025 17:32,,64.18,2.74,,,,,
281,7/16/2025 17:37,,64.11,2.75,,,,,
282,7/16/2025 17:42,,64.04,2.74,,,,,
283,7/16/2025 17:47,,64,2.75,,,,,
284,7/16/2025 17:52,,63.93,2.75,,,,,
285,7/16/2025 17:57,,63.9,2.75,,,,,
286,7/16/2025 18:02,,63.86,2.76,,,,,
287,7/16/2025 18:07,,63.82,2.76,,,,,
288,7/16/2025 18:12,,63.79,2.76,,,,,
289,7/16/2025 18:17,,63.72,2.76,,,,,
290,7/16/2025 18:22,,63.68,2.77,,,,,
291,7/16/2025 18:27,,63.64,2.78,,,,,
292,7/16/2025 18:32,,63.61,2.79,,,,,
293,7/16/2025 18:37,,63.61,2.78,,,,,
294,7/16/2025 18:42,,63.57,2.77,,,,,
295,7/16/2025 18:47,,63.5,2.81,,,,,
296,7/16/2025 18:52,,63.46,2.81,,,,,
297,7/16/2025 18:57,,63.43,2.81,,,,,
298,7/16/2025 19:02,,63.43,2.82,,,,,
299,7/16/2025 19:07,,63.39,2.83,,,,,
300,7/16/2025 19:12,,63.36,2.85,,,,,
301,7/16/2025 19:17,,63.32,2.86,,,,,
302,7/16/2025 19:22,,63.32,2.87,,,,,
303,7/16/2025 19:27,,63.32,2.87,,,,,
304,7/16/2025 19:32,,63.32,2.91,,,,,
305,7/16/2025 19:37,,63.32,2.92,,,,,
306,7/16/2025 19:42,,63.32,2.93,,,,,
307,7/16/2025 19:47,,63.32,2.93,,,,,
308,7/16/2025 19:52,,63.32,2.94,,,,,
309,7/16/2025 19:57,,63.32,2.95,,,,,
310,7/16/2025 20:02,,63.32,2.97,,,,,
311,7/16/2025 20:07,,63.32,2.98,,,,,
312,7/16/2025 20:12,,63.32,2.99,,,,,
313,7/16/2025 20:17,,63.32,2.99,,,,,
314,7/16/2025 20:22,,63.32,3,,,,,
315,7/16/2025 20:27,,63.32,2.99,,,,,
316,7/16/2025 20:32,,63.32,3,,,,,
317,7/16/2025 20:37,,63.32,3.01,,,,,
318,7/16/2025 20:42,,63.32,3.01,,,,,
319,7/16/2025 20:47,,63.32,3.01,,,,,
320,7/16/2025 20:52,,63.32,3.01,,,,,
321,7/16/2025 20:57,,63.32,3.01,,,,,
322,7/16/2025 21:02,,63.32,3.02,,,,,
323,7/16/2025 21:07,,63.28,3.01,,,,,
324,7/16/2025 21:12,,63.32,3.02,,,,,
325,7/16/2025 21:17,,63.32,3.01,,,,,
326,7/16/2025 21:22,,63.32,3.02,,,,,
327,7/16/2025 21:27,,63.32,3.01,,,,,
328,7/16/2025 21:32,,63.32,3.02,,,,,
329,7/16/2025 21:37,,63.36,3.02,,,,,
330,7/16/2025 21:42,,63.36,3.02,,,,,
331,7/16/2025 21:47,,63.36,3.01,,,,,
332,7/16/2025 21:52,,63.36,3.01,,,,,
333,7/16/2025 21:57,,63.36,3.01,,,,,
334,7/16/2025 22:02,,63.46,3.2,,,,,
335,7/16/2025 22:07,,63.5,3.2,,,,,
336,7/16/2025 22:12,,63.54,3.2,,,,,
337,7/16/2025 22:17,,63.54,3.2,,,,,
338,7/16/2025 22:22,,63.54,3.2,,,,,
339,7/16/2025 22:27,,63.54,3.21,,,,,
340,7/16/2025 22:32,,63.54,3.2,,,,,
341,7/16/2025 22:37,,63.54,3.21,,,,,
342,7/16/2025 22:42,,63.57,3.19,,,,,
343,7/16/2025 22:47,,63.57,3.19,,,,,
344,7/16/2025 22:52,,63.57,3.2,,,,,
345,7/16/2025 22:57,,63.57,3.2,,,,,
346,7/16/2025 23:02,,63.57,3.2,,,,,
347,7/16/2025 23:07,,63.57,3.19,,,,,
348,7/16/2025 23:12,,63.61,3.19,,,,,
349,7/16/2025 23:17,,63.61,3.18,,,,,
350,7/16/2025 23:22,,63.61,3.19,,,,,
351,7/16/2025 23:27,,63.61,3.18,,,,,
352,7/16/2025 23:32,,63.61,3.19,,,,,
353,7/16/2025 23:37,,63.64,3.18,,,,,
354,7/16/2025 23:42,,63.64,3.18,,,,,
355,7/16/2025 23:47,,63.64,3.19,,,,,
356,7/16/2025 23:52,,63.64,3.18,,,,,
357,7/16/2025 23:57,,63.64,3.18,,,,,
358,7/17/2025 0:02,,63.61,3.18,,,,,
359,7/17/2025 0:07,,63.61,3.19,,,,,
360,7/17/2025 0:12,,63.61,3.18,,,,,
361,7/17/2025 0:17,,63.61,3.19,,,,,
362,7/17/2025 0:22,,63.61,3.18,,,,,
363,7/17/2025 0:27,,63.61,3.17,,,,,
364,7/17/2025 0:32,,63.61,3.16,,,,,
365,7/17/2025 0:37,,63.61,3.16,,,,,
366,7/17/2025 0:42,,63.57,3.16,,,,,
367,7/17/2025 0:47,,63.57,3.16,,,,,
368,7/17/2025 0:52,,63.57,3.17,,,,,
369,7/17/2025 0:57,,63.57,3.18,,,,,
370,7/17/2025 1:02,,63.57,3.17,,,,,
371,7/17/2025 1:07,,63.57,3.18,,,,,
372,7/17/2025 1:12,,63.57,3.18,,,,,
373,7/17/2025 1:17,,63.57,3.16,,,,,
374,7/17/2025 1:22,,63.57,3.13,,,,,
375,7/17/2025 1:27,,63.57,3.13,,,,,
376,7/17/2025 1:32,,63.57,3.13,,,,,
377,7/17/2025 1:37,,63.61,3.14,,,,,
378,7/17/2025 1:42,,63.61,3.15,,,,,
379,7/17/2025 1:47,,63.61,3.14,,,,,
380,7/17/2025 1:52,,63.61,3.14,,,,,
381,7/17/2025 1:57,,63.61,3.14,,,,,
382,7/17/2025 2:02,,63.57,3.15,,,,,
383,7/17/2025 2:07,,63.57,3.16,,,,,
384,7/17/2025 2:12,,63.57,3.15,,,,,
385,7/17/2025 2:17,,63.57,3.12,,,,,
386,7/17/2025 2:22,,63.61,3.11,,,,,
387,7/17/2025 2:27,,63.61,3.11,,,,,
388,7/17/2025 2:32,,63.61,3.11,,,,,
389,7/17/2025 2:37,,63.61,3.1,,,,,
390,7/17/2025 2:42,,63.64,3.11,,,,,
391,7/17/2025 2:47,,63.64,3.1,,,,,
392,7/17/2025 2:52,,63.64,3.11,,,,,
393,7/17/2025 2:57,,63.64,3.11,,,,,
394,7/17/2025 3:02,,63.68,3.11,,,,,
395,7/17/2025 3:07,,63.68,3.12,,,,,
396,7/17/2025 3:12,,63.72,3.11,,,,,
397,7/17/2025 3:17,,63.72,3.11,,,,,
398,7/17/2025 3:22,,63.79,3.05,,,,,
399,7/17/2025 3:27,,63.82,3.06,,,,,
400,7/17/2025 3:32,,63.86,3.06,,,,,
401,7/17/2025 3:37,,63.9,3.05,,,,,
402,7/17/2025 3:42,,63.93,3.05,,,,,
403,7/17/2025 3:47,,63.93,3.05,,,,,
404,7/17/2025 3:52,,63.93,3.05,,,,,
405,7/17/2025 3:57,,63.9,3.05,,,,,
406,7/17/2025 4:02,,63.75,2.94,,,,,
407,7/17/2025 4:07,,63.68,2.94,,,,,
408,7/17/2025 4:12,,63.64,2.95,,,,,
409,7/17/2025 4:17,,63.61,2.95,,,,,
410,7/17/2025 4:22,,63.61,2.95,,,,,
411,7/17/2025 4:27,,63.61,2.95,,,,,
412,7/17/2025 4:32,,63.61,2.95,,,,,
413,7/17/2025 4:37,,63.61,2.95,,,,,
414,7/17/2025 4:42,,63.61,2.95,,,,,
415,7/17/2025 4:47,,63.61,2.95,,,,,
416,7/17/2025 4:52,,63.61,2.95,,,,,
417,7/17/2025 4:57,,63.61,2.95,,,,,
418,7/17/2025 5:02,,63.61,2.95,,,,,
419,7/17/2025 5:07,,63.64,2.95,,,,,
420,7/17/2025 5:12,,63.64,2.95,,,,,
421,7/17/2025 5:17,,63.64,2.95,,,,,
422,7/17/2025 5:22,,63.64,2.94,,,,,
423,7/17/2025 5:27,,63.68,2.94,,,,,
424,7/17/2025 5:32,,63.68,2.94,,,,,
425,7/17/2025 5:37,,63.68,2.94,,,,,
426,7/17/2025 5:42,,63.68,2.94,,,,,
427,7/17/2025 5:47,,63.68,2.94,,,,,
428,7/17/2025 5:52,,63.64,2.94,,,,,
429,7/17/2025 5:57,,63.64,2.94,,,,,
430,7/17/2025 6:02,,63.64,2.94,,,,,
431,7/17/2025 6:07,,63.68,2.93,,,,,
432,7/17/2025 6:12,,63.68,2.93,,,,,
433,7/17/2025 6:17,,63.68,2.93,,,,,
434,7/17/2025 6:22,,63.68,2.93,,,,,
435,7/17/2025 6:27,,63.68,2.93,,,,,
436,7/17/2025 6:32,,63.64,2.93,,,,,
437,7/17/2025 6:37,,63.64,2.94,,,,,
438,7/17/2025 6:42,,63.61,2.93,,,,,
439,7/17/2025 6:47,,63.61,2.93,,,,,
440,7/17/2025 6:52,,63.61,2.93,,,,,
441,7/17/2025 6:57,,63.57,2.93,,,,,
442,7/17/2025 7:02,,63.57,2.93,,,,,
443,7/17/2025 7:07,,63.54,2.93,,,,,
444,7/17/2025 7:12,,63.54,2.93,,,,,
445,7/17/2025 7:17,,63.5,2.93,,,,,
446,7/17/2025 7:22,,63.5,2.92,,,,,
447,7/17/2025 7:27,,63.46,2.92,,,,,
448,7/17/2025 7:32,,63.43,2.93,,,,,
449,7/17/2025 7:37,,63.43,2.92,,,,,
450,7/17/2025 7:42,,63.43,2.92,,,,,
451,7/17/2025 7:47,,63.43,2.93,,,,,
452,7/17/2025 7:52,,63.43,2.93,,,,,
453,7/17/2025 7:57,,63.43,2.93,,,,,
454,7/17/2025 8:02,,63.43,2.93,,,,,
455,7/17/2025 8:07,,63.43,2.93,,,,,
456,7/17/2025 8:12,,63.39,2.92,,,,,
457,7/17/2025 8:17,,63.39,2.92,,,,,
458,7/17/2025 8:22,,63.39,2.92,,,,,
459,7/17/2025 8:27,,63.39,2.92,,,,,
460,7/17/2025 8:32,,63.39,2.92,,,,,
461,7/17/2025 8:37,,63.39,2.92,,,,,
462,7/17/2025 8:42,,63.39,2.92,,,,,
463,7/17/2025 8:47,,63.36,2.92,,,,,
464,7/17/2025 8:52,,63.36,2.92,,,,,
465,7/17/2025 8:57,,63.36,2.92,,,,,
466,7/17/2025 9:02,,63.36,2.92,,,,,
467,7/17/2025 9:07,,63.36,2.92,,,,,
468,7/17/2025 9:12,,63.36,2.92,,,,,
469,7/17/2025 9:17,,63.36,2.92,,,,,
470,7/17/2025 9:22,,63.36,2.92,,,,,
471,7/17/2025 9:27,,63.36,2.92,,,,,
472,7/17/2025 9:32,,63.36,2.91,,,,,
473,7/17/2025 9:37,,63.36,2.91,,,,,
474,7/17/2025 9:42,,63.36,2.91,,,,,
475,7/17/2025 9:47,,63.36,2.91,,,,,
476,7/17/2025 9:52,,63.39,2.89,,,,,
477,7/17/2025 9:57,,63.39,2.89,,,,,
478,7/17/2025 10:02,,63.5,3.32,,,,,
479,7/17/2025 10:07,,63.57,3.32,,,,,
480,7/17/2025 10:12,,63.57,3.31,,,,,
481,7/17/2025 10:17,,63.61,3.31,,,,,
482,7/17/2025 10:22,,63.61,3.31,,,,,
483,7/17/2025 10:27,,63.61,3.31,,,,,
484,7/17/2025 10:32,,63.61,3.31,,,,,
485,7/17/2025 10:37,,63.64,3.31,,,,,
486,7/17/2025 10:42,,63.64,3.31,,,,,
487,7/17/2025 10:47,,63.68,3.31,,,,,
488,7/17/2025 10:52,,63.68,3.31,,,,,
489,7/17/2025 10:57,,63.72,3.3,,,,,
490,7/17/2025 11:02,,63.75,3.31,,,,,
491,7/17/2025 11:07,,63.79,3.31,,,,,
492,7/17/2025 11:12,,63.79,3.3,,,,,
493,7/17/2025 11:17,,63.82,3.3,,,,,
494,7/17/2025 11:22,,63.82,3.3,,,,,
495,7/17/2025 11:27,,63.86,3.3,,,,,
496,7/17/2025 11:32,,63.86,3.3,,,,,
497,7/17/2025 11:37,,63.9,3.3,,,,,
498,7/17/2025 11:42,,63.93,3.3,,,,,
499,7/17/2025 11:47,,63.97,3.3,,,,,
500,7/17/2025 11:52,,63.97,3.3,,,,,
501,7/17/2025 11:57,,63.97,3.3,,,,,
502,7/17/2025 12:02,,64,3.3,,,,,
503,7/17/2025 12:07,,64,3.3,,,,,
504,7/17/2025 12:12,,64,3.3,,,,,
