"Plot Title: 20819391"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819391, SEN S/N: 20819391)","Temp, °F (LGR S/N: 20819391, SEN S/N: 20819391)","DO Adj Conc, mg/L (LGR S/N: 20819391)","DO Percent Sat, % (LGR S/N: 20819391)","Coupler Detached (LGR S/N: 20819391)","Sensor Data Error (LGR S/N: 20819391)","Coupler Attached (LGR S/N: 20819391)","Host Connected (LGR S/N: 20819391)","Stopped (LGR S/N: 20819391)","End Of File (LGR S/N: 20819391)"
37,08/19/25 03:13:28 PM,8.28,70.27,7.11,93.4,,,,,,
38,08/19/25 03:18:28 PM,8.26,70.30,7.10,93.2,,,,,,
39,08/19/25 03:23:28 PM,8.24,70.30,7.08,92.9,,,,,,
40,08/19/25 03:28:28 PM,8.22,70.30,7.06,92.7,,,,,,
41,08/19/25 03:33:28 PM,8.22,70.30,7.06,92.7,,,,,,
42,08/19/25 03:38:28 PM,8.21,70.30,7.05,92.6,,,,,,
43,08/19/25 03:43:28 PM,8.20,70.34,7.05,92.5,,,,,,
44,08/19/25 03:48:28 PM,8.18,70.34,7.03,92.3,,,,,,
45,08/19/25 03:53:28 PM,8.17,70.34,7.02,92.2,,,,,,
46,08/19/25 03:58:28 PM,8.17,70.34,7.02,92.2,,,,,,
47,08/19/25 04:03:28 PM,8.15,70.34,7.00,92.0,,,,,,
48,08/19/25 04:08:28 PM,8.14,70.34,6.99,91.8,,,,,,
49,08/19/25 04:13:28 PM,8.13,70.34,6.98,91.7,,,,,,
50,08/19/25 04:18:28 PM,8.11,70.38,6.97,91.5,,,,,,
51,08/19/25 04:23:28 PM,8.10,70.38,6.96,91.4,,,,,,
52,08/19/25 04:28:28 PM,8.09,70.38,6.95,91.3,,,,,,
53,08/19/25 04:33:28 PM,8.08,70.38,6.94,91.2,,,,,,
54,08/19/25 04:38:28 PM,8.07,70.38,6.93,91.1,,,,,,
55,08/19/25 04:43:28 PM,8.06,70.38,6.92,91.0,,,,,,
56,08/19/25 04:48:28 PM,8.02,70.41,6.89,90.6,,,,,,
57,08/19/25 04:53:28 PM,8.01,70.41,6.88,90.5,,,,,,
58,08/19/25 04:58:28 PM,8.01,70.41,6.88,90.5,,,,,,
59,08/19/25 05:03:28 PM,7.99,70.41,6.86,90.2,,,,,,
60,08/19/25 05:08:28 PM,7.97,70.41,6.85,90.0,,,,,,
61,08/19/25 05:13:28 PM,8.32,82.36,7.20,106.3,,,,,,
62,08/19/25 05:18:28 PM,7.10,91.44,6.17,98.9,,,,,,
63,08/19/25 05:23:28 PM,7.00,93.92,6.09,99.7,,,,,,
64,08/19/25 05:28:28 PM,7.22,89.89,6.27,99.1,,,,,,
65,08/19/25 05:33:28 PM,7.57,85.71,6.56,99.9,,,,,,
66,08/19/25 05:38:28 PM,7.81,82.51,6.76,99.9,,,,,,
67,08/19/25 05:43:28 PM,7.99,80.13,6.90,99.8,,,,,,
68,08/19/25 05:48:28 PM,8.19,78.33,7.07,100.5,,,,,,
69,08/19/25 05:53:28 PM,8.34,77.04,7.19,101.0,,,,,,
70,08/19/25 05:58:28 PM,8.37,76.17,7.22,100.4,,,,,,
71,08/19/25 06:03:28 PM,8.43,75.52,7.27,100.5,,,,,,
72,08/19/25 06:08:28 PM,8.66,75.38,7.46,103.1,,,,,,
73,08/19/25 06:13:28 PM,8.87,79.59,7.66,110.2,,,,,,
74,08/19/25 06:18:28 PM,8.85,84.70,7.67,115.6,,,,,,
75,08/19/25 06:23:28 PM,8.59,89.10,7.46,117.0,,,,,,
76,08/19/25 06:28:28 PM,8.41,92.26,7.31,118.0,,,,,,
77,08/19/25 06:33:28 PM,8.18,94.21,7.12,116.9,,,,,,
78,08/19/25 06:38:28 PM,7.87,96.91,6.86,115.2,,,,,,
79,08/19/25 06:43:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
80,08/19/25 06:48:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
81,08/19/25 06:53:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
82,08/19/25 06:58:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
83,08/19/25 07:03:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
84,08/19/25 07:08:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
85,08/19/25 07:13:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
86,08/19/25 07:18:28 PM,-888.88,-888.88,-888.88,-888.9,,Logged,,,,
87,08/19/25 07:23:28 PM,11.55,115.56,10.15,199.3,,,,,,
88,08/19/25 07:28:28 PM,6.63,116.53,5.83,115.4,,,,,,
89,08/19/25 07:33:28 PM,6.48,117.07,5.70,113.3,,,,,,
90,08/19/25 07:38:28 PM,6.44,117.54,5.66,113.0,,,,,,
91,08/19/25 07:43:28 PM,6.34,117.97,5.58,111.7,,,,,,
92,08/19/25 07:48:28 PM,6.24,118.26,5.49,110.2,,,,,,
93,08/19/25 07:53:28 PM,6.10,117.61,5.36,107.1,,,,,,
94,08/19/25 07:58:28 PM,6.17,116.92,5.42,107.7,,,,,,
95,08/19/25 08:03:28 PM,6.18,116.85,5.43,107.8,,,,,,
96,08/19/25 08:08:28 PM,5.95,116.49,5.23,103.5,,,,,,
97,08/19/25 08:13:28 PM,5.97,114.44,5.24,102.0,,,,,,
98,08/19/25 08:18:28 PM,6.19,113.22,5.43,104.6,,,,,,
99,08/19/25 08:23:28 PM,6.38,112.89,5.60,107.5,,,,,,
100,08/19/25 08:28:28 PM,6.51,112.71,5.71,109.6,,,,,,
101,08/19/25 08:33:28 PM,6.48,112.32,5.69,108.7,,,,,,
102,08/19/25 08:38:28 PM,6.49,111.31,5.69,107.9,,,,,,
103,08/19/25 08:43:28 PM,6.50,109.87,5.70,106.7,,,,,,
104,08/19/25 08:48:28 PM,6.57,108.18,5.76,106.3,,,,,,
105,08/19/25 08:53:28 PM,6.62,106.95,5.80,106.0,,,,,,
106,08/19/25 08:58:28 PM,6.80,106.34,5.95,108.3,,,,,,
107,08/19/25 09:03:28 PM,6.81,106.81,5.96,108.9,,,,,,
108,08/19/25 09:08:28 PM,6.84,107.17,5.99,109.7,,,,,,
109,08/19/25 09:13:28 PM,6.83,107.82,5.98,110.1,,,,,,
110,08/19/25 09:18:28 PM,6.81,108.32,5.97,110.3,,,,,,
111,08/19/25 09:23:28 PM,6.79,108.72,5.95,110.4,,,,,,
112,08/19/25 09:28:28 PM,6.66,108.43,5.84,108.0,,,,,,
113,08/19/25 09:33:28 PM,6.77,107.92,5.93,109.3,,,,,,
114,08/19/25 09:38:28 PM,6.74,107.49,5.90,108.4,,,,,,
115,08/19/25 09:43:28 PM,6.85,107.06,6.00,109.7,,,,,,
116,08/19/25 09:48:28 PM,6.58,105.94,5.76,104.4,,,,,,
117,08/19/25 09:53:28 PM,6.57,102.99,5.74,101.6,,,,,,
118,08/19/25 09:58:28 PM,6.67,99.75,5.82,100.2,,,,,,
119,08/19/25 10:03:28 PM,6.81,96.55,5.94,99.4,,,,,,
120,08/19/25 10:08:28 PM,6.99,93.70,6.08,99.4,,,,,,
121,08/19/25 10:13:28 PM,7.16,91.04,6.22,99.3,,,,,,
122,08/19/25 10:18:28 PM,7.34,88.66,6.37,99.6,,,,,,
123,08/19/25 10:23:28 PM,7.49,86.54,6.50,99.6,,,,,,
124,08/19/25 10:28:28 PM,7.65,84.74,6.63,100.0,,,,,,
125,08/19/25 10:33:28 PM,7.80,83.08,6.75,100.3,,,,,,
126,08/19/25 10:38:28 PM,7.95,81.57,6.88,100.7,,,,,,
127,08/19/25 10:43:28 PM,8.06,80.17,6.97,100.7,,,,,,
128,08/19/25 10:48:28 PM,8.17,78.91,7.06,100.8,,,,,,
129,08/19/25 10:53:28 PM,8.26,77.76,7.13,100.7,,,,,,
130,08/19/25 10:58:28 PM,8.37,76.71,7.22,101.0,,,,,,
131,08/19/25 11:03:28 PM,8.47,75.81,7.30,101.3,,,,,,
132,08/19/25 11:08:28 PM,8.55,74.98,7.37,101.3,,,,,,
133,08/19/25 11:13:28 PM,8.62,74.23,7.42,101.4,,,,,,
134,08/19/25 11:18:28 PM,8.69,73.58,7.48,101.5,,,,,,
135,08/19/25 11:23:28 PM,8.76,72.93,7.54,101.6,,,,,,
136,08/19/25 11:28:28 PM,8.83,72.36,7.60,101.8,,,,,,
137,08/19/25 11:33:28 PM,8.87,71.82,7.63,101.7,,,,,,
138,08/19/25 11:38:28 PM,8.90,71.31,7.65,101.5,,,,,,
139,08/19/25 11:43:28 PM,8.97,70.84,7.71,101.8,,,,,,
140,08/19/25 11:48:28 PM,9.00,70.41,7.73,101.6,,,,,,
141,08/19/25 11:53:28 PM,9.06,70.02,7.78,101.9,,,,,,
142,08/19/25 11:58:28 PM,9.08,69.66,7.80,101.7,,,,,,
143,08/20/25 12:03:28 AM,9.10,69.33,7.81,101.6,,,,,,
144,08/20/25 12:08:28 AM,9.15,69.04,7.85,101.8,,,,,,
145,08/20/25 12:13:28 AM,9.18,68.76,7.88,101.8,,,,,,
146,08/20/25 12:18:28 AM,9.19,68.50,7.89,101.6,,,,,,
147,08/20/25 12:23:28 AM,9.23,68.29,7.92,101.8,,,,,,
148,08/20/25 12:28:28 AM,9.25,68.11,7.94,101.9,,,,,,
149,08/20/25 12:33:28 AM,9.29,67.93,7.97,102.1,,,,,,
150,08/20/25 12:38:28 AM,9.31,67.75,7.99,102.1,,,,,,
151,08/20/25 12:43:28 AM,9.32,67.60,7.99,102.1,,,,,,
152,08/20/25 12:48:28 AM,9.33,67.46,8.00,102.0,,,,,,
153,08/20/25 12:53:28 AM,9.34,67.35,8.01,102.0,,,,,,
154,08/20/25 12:58:28 AM,9.35,67.24,8.02,102.0,,,,,,
155,08/20/25 01:03:28 AM,9.37,67.14,8.03,102.1,,,,,,
156,08/20/25 01:08:28 AM,9.37,67.03,8.03,102.0,,,,,,
157,08/20/25 01:13:28 AM,9.38,66.96,8.04,102.0,,,,,,
158,08/20/25 01:18:28 AM,9.40,66.88,8.06,102.1,,,,,,
159,08/20/25 01:23:28 AM,9.41,66.81,8.07,102.1,,,,,,
160,08/20/25 01:28:28 AM,9.40,66.78,8.06,102.0,,,,,,
161,08/20/25 01:33:28 AM,9.41,66.70,8.07,102.0,,,,,,
162,08/20/25 01:38:28 AM,9.44,66.63,8.09,102.3,,,,,,
163,08/20/25 01:43:28 AM,9.44,66.60,8.09,102.2,,,,,,
164,08/20/25 01:48:28 AM,9.43,66.52,8.08,102.0,,,,,,
165,08/20/25 01:53:28 AM,9.45,66.45,8.10,102.2,,,,,,
166,08/20/25 01:58:28 AM,9.45,66.42,8.10,102.1,,,,,,
167,08/20/25 02:03:28 AM,9.47,66.34,8.12,102.3,,,,,,
168,08/20/25 02:08:28 AM,9.46,66.31,8.11,102.1,,,,,,
169,08/20/25 02:13:28 AM,9.46,66.27,8.11,102.1,,,,,,
170,08/20/25 02:18:28 AM,9.46,66.24,8.11,102.0,,,,,,
171,08/20/25 02:23:28 AM,9.47,66.20,8.11,102.1,,,,,,
172,08/20/25 02:28:28 AM,9.47,66.20,8.11,102.1,,,,,,
173,08/20/25 02:33:28 AM,9.49,66.20,8.13,102.3,,,,,,
174,08/20/25 02:38:28 AM,9.48,66.20,8.12,102.2,,,,,,
175,08/20/25 02:43:28 AM,9.46,66.16,8.11,101.9,,,,,,
176,08/20/25 02:48:28 AM,9.48,66.13,8.12,102.1,,,,,,
177,08/20/25 02:53:28 AM,9.49,66.09,8.13,102.2,,,,,,
178,08/20/25 02:58:28 AM,9.50,66.02,8.14,102.2,,,,,,
179,08/20/25 03:03:28 AM,9.51,65.95,8.15,102.2,,,,,,
180,08/20/25 03:08:28 AM,9.52,65.91,8.16,102.3,,,,,,
181,08/20/25 03:13:28 AM,9.51,65.88,8.15,102.2,,,,,,
182,08/20/25 03:18:28 AM,9.52,65.80,8.16,102.2,,,,,,
183,08/20/25 03:23:28 AM,9.54,65.77,8.17,102.3,,,,,,
184,08/20/25 03:28:28 AM,9.53,65.73,8.16,102.2,,,,,,
185,08/20/25 03:33:28 AM,9.54,65.70,8.17,102.3,,,,,,
186,08/20/25 03:38:28 AM,9.55,65.66,8.18,102.3,,,,,,
187,08/20/25 03:43:28 AM,9.55,65.59,8.18,102.2,,,,,,
188,08/20/25 03:48:28 AM,9.56,65.55,8.19,102.3,,,,,,
189,08/20/25 03:53:28 AM,9.55,65.52,8.18,102.2,,,,,,
190,08/20/25 03:58:28 AM,9.56,65.48,8.19,102.2,,,,,,
191,08/20/25 04:03:28 AM,9.56,65.44,8.19,102.2,,,,,,
192,08/20/25 04:08:28 AM,9.56,65.44,8.19,102.2,,,,,,
193,08/20/25 04:13:28 AM,9.56,65.44,8.19,102.2,,,,,,
194,08/20/25 04:18:28 AM,9.56,65.44,8.19,102.2,,,,,,
195,08/20/25 04:23:28 AM,9.58,65.44,8.20,102.4,,,,,,
196,08/20/25 04:28:28 AM,9.58,65.48,8.20,102.4,,,,,,
197,08/20/25 04:33:28 AM,9.58,65.52,8.21,102.5,,,,,,
198,08/20/25 04:38:28 AM,9.57,65.52,8.20,102.4,,,,,,
199,08/20/25 04:43:28 AM,9.57,65.55,8.20,102.4,,,,,,
200,08/20/25 04:48:28 AM,9.57,65.59,8.20,102.5,,,,,,
201,08/20/25 04:53:28 AM,9.56,65.59,8.19,102.4,,,,,,
202,08/20/25 04:58:28 AM,9.56,65.59,8.19,102.4,,,,,,
203,08/20/25 05:03:28 AM,9.56,65.59,8.19,102.4,,,,,,
204,08/20/25 05:08:28 AM,9.56,65.59,8.19,102.4,,,,,,
205,08/20/25 05:13:28 AM,9.56,65.55,8.19,102.3,,,,,,
206,08/20/25 05:18:28 AM,9.56,65.52,8.19,102.3,,,,,,
207,08/20/25 05:23:28 AM,9.56,65.52,8.19,102.3,,,,,,
208,08/20/25 05:28:28 AM,9.56,65.48,8.19,102.2,,,,,,
209,08/20/25 05:33:28 AM,9.55,65.48,8.18,102.1,,,,,,
210,08/20/25 05:38:28 AM,9.56,65.44,8.19,102.2,,,,,,
211,08/20/25 05:43:28 AM,9.56,65.41,8.19,102.1,,,,,,
212,08/20/25 05:48:28 AM,9.56,65.34,8.19,102.1,,,,,,
213,08/20/25 05:53:28 AM,9.56,65.23,8.19,101.9,,,,,,
214,08/20/25 05:58:28 AM,9.56,65.16,8.19,101.9,,,,,,
215,08/20/25 06:03:28 AM,9.58,65.01,8.20,101.9,,,,,,
216,08/20/25 06:08:28 AM,9.58,64.90,8.20,101.8,,,,,,
217,08/20/25 06:13:28 AM,9.60,64.76,8.22,101.8,,,,,,
218,08/20/25 06:18:28 AM,9.60,64.58,8.22,101.6,,,,,,
219,08/20/25 06:23:28 AM,9.62,64.44,8.23,101.7,,,,,,
220,08/20/25 06:28:28 AM,9.63,64.26,8.24,101.6,,,,,,
221,08/20/25 06:33:28 AM,9.65,64.11,8.26,101.6,,,,,,
222,08/20/25 06:38:28 AM,9.66,63.93,8.26,101.5,,,,,,
223,08/20/25 06:43:28 AM,9.68,63.75,8.28,101.5,,,,,,
224,08/20/25 06:48:28 AM,9.69,63.57,8.29,101.4,,,,,,
225,08/20/25 06:53:28 AM,9.70,63.39,8.30,101.3,,,,,,
226,08/20/25 06:58:28 AM,9.73,63.21,8.32,101.4,,,,,,
227,08/20/25 07:03:28 AM,9.74,63.03,8.33,101.3,,,,,,
228,08/20/25 07:08:28 AM,9.77,62.89,8.35,101.4,,,,,,
229,08/20/25 07:13:28 AM,9.77,62.71,8.35,101.2,,,,,,
230,08/20/25 07:18:28 AM,9.79,62.56,8.37,101.3,,,,,,
231,08/20/25 07:23:28 AM,9.79,62.38,8.37,101.0,,,,,,
232,08/20/25 07:28:28 AM,9.81,62.24,8.38,101.1,,,,,,
233,08/20/25 07:33:28 AM,9.84,62.10,8.41,101.2,,,,,,
234,08/20/25 07:38:28 AM,9.83,61.99,8.40,101.0,,,,,,
235,08/20/25 07:43:28 AM,9.85,61.88,8.42,101.1,,,,,,
236,08/20/25 07:48:28 AM,9.87,61.77,8.43,101.1,,,,,,
237,08/20/25 07:53:28 AM,9.88,61.70,8.44,101.2,,,,,,
238,08/20/25 07:58:28 AM,9.89,61.59,8.45,101.1,,,,,,
239,08/20/25 08:03:28 AM,9.91,61.52,8.46,101.3,,,,,,
240,08/20/25 08:08:28 AM,9.90,61.45,8.46,101.1,,,,,,
241,08/20/25 08:13:28 AM,9.92,61.38,8.47,101.2,,,,,,
242,08/20/25 08:18:28 AM,9.93,61.30,8.48,101.2,,,,,,
243,08/20/25 08:23:28 AM,9.94,61.23,8.49,101.2,,,,,,
244,08/20/25 08:28:28 AM,9.95,61.20,8.50,101.3,,,,,,
245,08/20/25 08:33:28 AM,9.96,61.16,8.51,101.3,,,,,,
246,08/20/25 08:38:28 AM,9.96,61.09,8.50,101.3,,,,,,
247,08/20/25 08:43:28 AM,9.97,61.05,8.51,101.3,,,,,,
248,08/20/25 08:48:28 AM,9.97,61.02,8.51,101.3,,,,,,
249,08/20/25 08:53:28 AM,9.98,60.98,8.52,101.3,,,,,,
250,08/20/25 08:58:28 AM,9.98,60.94,8.52,101.3,,,,,,
251,08/20/25 09:03:28 AM,9.98,60.94,8.52,101.3,,,,,,
252,08/20/25 09:08:28 AM,9.99,60.91,8.53,101.3,,,,,,
253,08/20/25 09:13:28 AM,9.99,60.91,8.53,101.3,,,,,,
254,08/20/25 09:18:28 AM,9.99,60.87,8.53,101.3,,,,,,
255,08/20/25 09:23:28 AM,9.99,60.87,8.53,101.3,,,,,,
256,08/20/25 09:28:28 AM,9.99,60.87,8.53,101.3,,,,,,
257,08/20/25 09:33:28 AM,9.99,60.87,8.53,101.3,,,,,,
258,08/20/25 09:38:28 AM,9.99,60.87,8.53,101.3,,,,,,
259,08/20/25 09:43:28 AM,10.00,60.87,8.54,101.4,,,,,,
260,08/20/25 09:48:28 AM,9.99,60.91,8.53,101.3,,,,,,
261,08/20/25 09:53:28 AM,10.00,60.91,8.54,101.4,,,,,,
262,08/20/25 09:58:28 AM,10.00,60.91,8.54,101.4,,,,,,
263,08/20/25 10:03:28 AM,10.01,60.94,8.55,101.6,,,,,,
264,08/20/25 10:08:28 AM,10.00,60.94,8.54,101.5,,,,,,
265,08/20/25 10:13:28 AM,10.00,60.94,8.54,101.5,,,,,,
266,08/20/25 10:18:28 AM,9.99,60.98,8.53,101.4,,,,,,
267,08/20/25 10:23:28 AM,9.99,61.02,8.53,101.5,,,,,,
268,08/20/25 10:28:28 AM,9.99,61.05,8.53,101.5,,,,,,
269,08/20/25 10:33:28 AM,10.00,61.12,8.54,101.7,,,,,,
270,08/20/25 10:38:28 AM,9.99,61.23,8.53,101.7,,,,,,
271,08/20/25 10:43:28 AM,9.98,61.34,8.52,101.8,,,,,,
272,08/20/25 10:48:28 AM,9.98,61.52,8.52,102.0,,,,,,
273,08/20/25 10:53:28 AM,9.98,61.70,8.53,102.2,,,,,,
274,08/20/25 10:58:28 AM,9.98,61.92,8.53,102.4,,,,,,
275,08/20/25 11:03:28 AM,9.96,62.06,8.51,102.4,,,,,,
276,08/20/25 11:08:28 AM,9.93,62.24,8.49,102.3,,,,,,
277,08/20/25 11:13:28 AM,9.90,62.42,8.46,102.2,,,,,,
278,08/20/25 11:18:28 AM,9.92,62.60,8.48,102.6,,,,,,
279,08/20/25 11:23:28 AM,9.88,62.85,8.45,102.5,,,,,,
280,08/20/25 11:28:28 AM,9.89,63.07,8.46,102.9,,,,,,
281,08/20/25 11:33:28 AM,9.85,63.28,8.42,102.7,,,,,,
282,08/20/25 11:38:28 AM,9.83,63.46,8.41,102.7,,,,,,
283,08/20/25 11:43:28 AM,9.81,63.64,8.39,102.7,,,,,,
284,08/20/25 11:48:28 AM,9.81,63.86,8.39,103.0,,,,,,
285,08/20/25 11:53:28 AM,9.79,64.08,8.38,103.0,,,,,,
286,08/20/25 11:58:28 AM,9.76,64.36,8.35,103.1,,,,,,
287,08/20/25 12:03:28 PM,9.75,64.58,8.35,103.2,,,,,,
288,08/20/25 12:08:28 PM,9.71,64.76,8.31,103.0,,,,,,
289,08/20/25 12:13:28 PM,9.69,64.94,8.30,103.0,,,,,,
290,08/20/25 12:18:28 PM,9.69,65.26,8.30,103.4,,,,,,
291,08/20/25 12:23:28 PM,9.69,65.70,8.30,103.9,,,,,,
292,08/20/25 12:28:28 PM,9.65,66.13,8.27,103.9,,,,,,
293,08/20/25 12:33:28 PM,9.59,66.42,8.22,103.6,,,,,,
294,08/20/25 12:38:28 PM,9.55,66.74,8.19,103.6,,,,,,
295,08/20/25 12:43:28 PM,9.56,67.24,8.20,104.3,,,,,,
296,08/20/25 12:48:28 PM,9.54,67.89,8.18,104.8,,,,,,
297,08/20/25 12:53:28 PM,9.50,68.86,8.15,105.5,,,,,,
298,08/20/25 12:58:28 PM,9.41,70.63,8.09,106.5,,,,,,
299,08/20/25 01:03:28 PM,9.31,72.25,8.01,107.2,,,,,,
300,08/20/25 01:08:28 PM,9.41,75.42,8.11,112.0,,,,,,
301,08/20/25 01:13:28 PM,8.95,76.60,7.72,107.9,,,,,,
302,08/20/25 01:18:28 PM,8.80,76.17,7.59,105.6,,,,,,
303,08/20/25 01:23:28 PM,8.76,75.70,7.55,104.6,,,,,,
304,08/20/25 01:28:28 PM,8.71,75.27,7.51,103.6,,,,,,
305,08/20/25 01:33:28 PM,8.71,74.84,7.50,103.1,,,,,,
306,08/20/25 01:38:28 PM,8.71,74.44,7.50,102.7,,,,,,
307,08/20/25 01:43:28 PM,8.74,74.08,7.53,102.6,,,,,,
308,08/20/25 01:48:28 PM,8.74,73.80,7.53,102.3,,,,,,
309,08/20/25 01:53:28 PM,8.77,73.47,7.55,102.3,,,,,,
310,08/20/25 01:58:28 PM,8.78,73.22,7.56,102.2,,,,,,
311,08/20/25 02:03:28 PM,8.80,72.93,7.57,102.1,,,,,,
312,08/20/25 02:08:28 PM,8.81,72.68,7.58,101.9,,,,,,
313,08/20/25 02:13:28 PM,8.86,72.50,7.62,102.3,,,,,,
314,08/20/25 02:18:28 PM,8.86,72.32,7.62,102.1,,,,,,
315,08/20/25 02:23:28 PM,8.87,72.14,7.63,102.0,,,,,,
316,08/20/25 02:28:28 PM,8.89,72.00,7.65,102.1,,,,,,
317,08/20/25 02:33:28 PM,8.90,71.85,7.65,102.1,,,,,,
318,08/20/25 02:38:28 PM,8.90,71.71,7.65,101.9,,,,,,
319,08/20/25 02:43:28 PM,8.93,71.56,7.68,102.1,,,,,,
320,08/20/25 02:48:28 PM,8.94,71.46,7.69,102.1,,,,,,
321,08/20/25 02:53:28 PM,8.95,71.38,7.69,102.1,,,,,,
322,08/20/25 02:58:28 PM,8.95,71.28,7.69,102.0,,,,,,
323,08/20/25 03:03:28 PM,8.98,71.20,7.72,102.3,,,,,,
324,08/20/25 03:08:28 PM,8.97,71.10,7.71,102.0,,,,,,
325,08/20/25 03:13:28 PM,8.99,71.02,7.73,102.2,,,,,,
326,08/20/25 03:18:28 PM,9.00,70.95,7.74,102.2,,,,,,
327,08/20/25 03:23:28 PM,9.00,70.92,7.74,102.2,,,,,,
328,08/20/25 03:28:28 PM,9.02,70.88,7.75,102.4,,,,,,
329,08/20/25 03:33:28 PM,9.03,70.81,7.76,102.4,,,,,,
330,08/20/25 03:38:28 PM,9.02,70.77,7.75,102.3,,,,,,
331,08/20/25 03:43:28 PM,9.03,70.70,7.76,102.3,,,,,,
332,08/20/25 03:48:28 PM,9.03,70.66,7.76,102.2,,,,,,
333,08/20/25 03:53:28 PM,9.05,70.63,7.78,102.4,,,,,,
334,08/20/25 03:58:28 PM,9.05,70.59,7.78,102.4,,,,,,
335,08/20/25 04:03:28 PM,9.04,70.56,7.77,102.2,,,,,,
336,08/20/25 04:08:28 PM,9.04,70.52,7.77,102.2,,,,,,
337,08/20/25 04:13:28 PM,9.06,70.48,7.78,102.4,,,,,,
338,08/20/25 04:18:28 PM,9.06,70.45,7.78,102.3,,,,,,
339,08/20/25 04:23:28 PM,9.06,70.45,7.78,102.3,,,,,,
340,08/20/25 04:28:28 PM,9.05,70.45,7.78,102.2,,,,,,
341,08/20/25 04:33:28 PM,9.08,70.41,7.80,102.5,,,,,,
342,08/20/25 04:38:28 PM,9.07,70.41,7.79,102.4,,,,,,
343,08/20/25 04:43:28 PM,9.07,70.38,7.79,102.4,,,,,,
344,08/20/25 04:48:28 PM,9.08,70.34,7.80,102.5,,,,,,
